Alcatel-Tru_id10205|The Alcatel Tru sports a 5-inch screen with 480 x 854 pixels, thus offering one of the least sharp displays currently on the market. The phone is powered by a not-so-powerful quad-core Qualcomm Snapdragon 210 CPU clocked at 1.1 GHz, further offering 1 GB of RAM, 8 GB of expandable storage space, and a 2000 mAh battery for quot;all day use.quot; Theres a 2 MP camera on the front of the handset, and a 5 MP one on the back - with LED flash and quot;Polaroid filtersquot;. The new Alcatel smartphone features a quot;soft noir faux leather backquot;, and unfortunately runs Android Lollipop. See the page for all specs.
LG-V20_id10202|The LG V20 is expected to come with a 5.5-inch in-cell screen with a 1440 x 2560 display. Powering the LG V20 will be a Snapdragon 820 SoC with a quad-core CPU and the Adreno 530 GPU. 4GB of RAM will be inside. Internal storage will be available in both 32GB and 64GB variants with a 256GB capacity microSD slot available. The camera on back is supposed to get a bit of a bump to 21MP, with an 8MP selfie snapper in front. A Type-C USB port will be on board with a large 4000mAh battery keeping the lights on. See the page for all specs.
Alcatel-Streak_id10203|The Alcatel Streak features a 4.5-inch WVGA dispaly, Qualcomm Snapdragon 210 SOC, 1 GB of RAM and 8 gigs of internal expandable memory. There is a 5-megapixel camera on the back, as well as a 2-megapixel front shooter. The phone is powered bu 1780mAh battery and runs Android 6.0. See the page for all specs.
honor-Note-8_id10196|The honor Note 8s 6.6-inch, 2K resolution display is certainly eyebrow-raising material. Honor touts it as ideal for multimedia, productivity, and gaming, which makes sense considering the immense screen real estate and pixel density. Sensibly, theres split-screen feature to make the most of it. Moreover, the handset uses a Super AMOLED panel. Speaking of gaming, the Kirin 955 chipset with 4GB of LPDDR4 RAM ought to be able to handle intense modern games. The honor Note 8 also brings a 13MP rear camera with a large F2.0 aperture, an RGBW sensor, optical image stabilization, and a bespoke image processing engine. The front cam is an 8MP unit, said to be brighter than average to facilitate video chat. See the page for all specs.
Samsung-Galaxy-A8-2016_id10195|The Samsung Galaxy A8 (2016) is expected to feature a 5.7-inch, 1080p display, 8-core processor and 3GB of RAM. There is a 16-megapixel camera on the back, as well as 5-megapixel front shooter. The phone runs Android 6.0. See the page for all specs.
Xiaomi-Redmi-Pro_id10194|The Xiaomi Redmi Pro sports a 5.5-inch OLED screen, Helio X25 deca-core processor, 4 GB of RAM, 128 GB of storage, two rear facing cameras and an addition 5-megapixel selfie unit on the front. See the page for all specs.
Gionee-M6-Plus_id10193|The Gionee M6 Plus is powered by the 2GHz MediaTek Helio P10 octa-core processor with 4GB of RAM and up to 128GB expandable storage. It sports a 6-inch, 1080p-resolution AMOLED screen tuned to cover 100% of the NTSC color gamut. Theres a 16MP main camera with phase detection auto-focus and a single LED flash on the back, and the front is adorned with an 8MP cam. See the page for all specs.
Gionee-M6_id10192|The Gionee M6 is powered by the 1.8GHz MediaTek Helio P10 octa-core processor with 4GB of RAM and up to 128GB expandable storage. It sports a 5.5-inch, 1080p-resolution AMOLED screen tuned to cover 100% of the NTSC color gamut. Theres a 13MP main camera with phase detection auto-focus and a single LED flash on the back, and the front is adorned with an 8MP cam. See the page for all specs.
BlackBerry-DTEK50_id10191|The BlackBerry DTEK50 is presented as quot;the world’s most secure Android smartphonequot;. Based on Android 6.0 Marshmallow, the handset encrypts all user information, and comes with a DTEK by BlackBerry App, which can automatically monitor the OS to let users quot;know when their privacy could be at risk and to take action to improve itquot;. The device is not actually manufactured by BlackBerry, instead being a rebranded, modified version of the Alcatel Idol 4. The DTEK50 shares pretty much all of its tech specs with the Idol 4, though it adds a Convenience Key (on the right side), letting you quickly access your frequently used apps and tasks. See the page for all specs.
ZTE-Maven-2_id10190|The ZTE Maven 2 sports a 5-inch FWVGA display, 1.1 GHz quad-core processor, 1 GB of RAM, 8 GB of storage and a 5-megapixel camera. See the page for all specs.
